The Baker / NT-999-XX (Hidden),5e2629d25586be746ccecccb
Agricium,0,0
Agricultural Supplies,0,0
Altruciatoxin,0,0
Aluminum,0,0
Astatine,0,0
Beryl,0,0
Chlorine,0,0
Corundum,0,0
Diamond,0,0
Distilled Spirits,0,0
E'tam,85,0
Flourine,0,0
Gold,0,0
Hydrogen,0,1.11
Iodine,0,0
Laranite,0,0
Medical Supplies,0,0
Neon,0,90
Processed Food,0,0
Quartz,0,0
Revenant Tree Pollen,0,1.69
Scrap,0,0
Slam,120,0
Stims,0,3.8
Titanium,0,0
Tungstun,0,0
Waste,0,0.01
Widow,101.01,0
Amioshi Plaque Caves,0,0
Aphorite,0,0
Components Hurston Junk Pile,0,0
Dolivine,0,0
Golden Medmons Hurston Savanna,0,0
Hadanite,0,0
Pitambu Hurston Savanna,0,0
Prota Any Acidic,0,0
Ranta Dung Caves,0,0
Revenant Pods Desert With Atmosphere,0,0
